EpisodeNumber,IterationTime,AverageIterationTime,CumulativeIterationTime,Reward,AverageReward,CheckpointCount,Velocity,AverageVelocity,TimedOut
1,13.9201288,13.9201288,13.9201288,-3.18178749,-3.18178749,1,1.47609711,1.47609711,False
2,13.96013,13.9401294,27.8802588,-3.19506621,-3.18842685,1,1.444877,1.460487055,False
3,15.0001535,14.293470766666667,42.8804123,-3.0072372,-3.1280303000000003,1,1.5886488,1.5032076366666667,False
4,12.5400972,13.855127375,55.4205095,-3.176651,-3.140185475,1,1.56215525,1.51794454,False
5,14.5001421,13.98413032,69.9206516,-2.85017228,-3.082182836,1,1.83408344,1.5811723199999999,False
6,13.10011,13.8367936,83.0207616,-3.24919939,-3.1100189283333335,1,1.43699789,1.5571432483333334,False
7,17.640213,14.380139228571428,100.6609746,-2.504251,-3.0234806528571427,1,1.99632442,1.6198834157142858,False
8,15.8801737,14.5676435375,116.5411483,-2.67325068,-2.97970190625,1,1.96233547,1.6626899225,False
9,11.8400812,14.264581055555558,128.38122950000002,-3.36864161,-3.022917428888889,1,1.37359107,1.6305678277777778,False
10,11.6800776,14.006130710000003,140.06130710000002,-3.280631,-3.048688786,1,1.48486114,1.6159971590000002,False
11,11.5600748,13.783761990909092,151.62138190000002,-3.31365132,-3.072776289090909,1,1.49104726,1.6046380772727273,False
12,12.7601023,13.698457016666667,164.38148420000002,-3.40151072,-3.1001708249999997,1,1.20647693,1.5714579816666667,False
13,13.140111,13.655507323076923,177.5215952,-3.35100031,-3.11946540076923,1,1.32475841,1.5524810915384617,False
14,13.7601252,13.662980028571429,191.2817204,-3.22256637,-3.1268297557142857,1,1.37943327,1.540120532857143,False
15,11.80008,13.538786693333334,203.08180040000002,-3.22454214,-3.1333439146666664,1,1.57677364,1.5425640733333335,False
16,12.6200991,13.481368718750002,215.70189950000002,-3.04532957,-3.1278430181249997,1,1.75500965,1.5558419218750001,False
17,14.0401316,13.514237123529412,229.74203110000002,-3.00052142,-3.1203535123529407,1,1.69706464,1.5641491405882355,False
18,11.8400812,13.421228461111111,241.5821123,-3.30159855,-3.130422681111111,1,1.45991766,1.5583585027777778,False
19,13.08011,13.403274857894736,254.6622223,-3.23147058,-3.135740991578947,1,1.45533693,1.5529363147368422,False
20,14.8201494,13.474118585,269.4823717,-2.92078471,-3.1249931774999995,1,1.7095046,1.5607647290000002,False
21,14.7201471,13.533453276190476,284.2025188,-3.04882479,-3.1213661114285713,1,1.563419,1.560891122857143,False
22,12.0800867,13.467391159090909,296.2826055,-3.27014065,-3.1281285904545455,1,1.48437881,1.5574132904545457,False
23,13.1801119,13.454900756521738,309.4627174,-3.173808,-3.13011465173913,1,1.54097116,1.5566984152173915,False
24,14.5201426,13.499285833333332,323.98285999999996,-2.81180215,-3.116851630833333,1,1.9076426,1.5713210895833336,False
25,11.5800753,13.422517411999998,335.56293529999994,-3.2937746,-3.1239285496000004,1,1.51593506,1.5691056484,False
26,13.8201265,13.437810069230768,349.38306179999995,-3.204823,-3.127039874615385,1,1.4476912,1.564435861923077,False
27,12.9601068,13.420117355555554,362.34316859999996,-3.257674,-3.131878175555556,1,1.44139779,1.5598788962962966,False
28,13.8601274,13.435832,376.20329599999997,-3.02063847,-3.127905328928571,1,1.70352626,1.5650091592857145,False
29,12.5600977,13.40563426551724,388.76339369999994,-3.12798738,-3.127908158275862,1,1.67106271,1.5686661782758622,False
30,12.7601023,13.38411653333333,401.5234959999999,-3.1443,-3.1284545529999996,1,1.60763967,1.5699652946666667,False
31,14.6001444,13.423343238709673,416.1236403999999,-2.84313941,-3.1192508387096773,1,1.81584489,1.5778968945161291,False
32,12.880105,13.406367043749997,429.0037453999999,-2.91363764,-3.11282542625,1,1.93936229,1.589192688125,False
33,11.80008,13.357691678787875,440.8038253999999,-3.14203644,-3.1137106084848485,1,1.71521926,1.593011675151515,False
34,12.3600931,13.328350544117644,453.1639184999999,-3.248355,-3.117670737647059,1,1.50222993,1.5903416238235293,False
35,11.0800638,13.264113779999997,464.2439822999999,-3.36126184,-3.1246304834285716,1,1.44043326,1.5860585277142856,False
36,12.7201014,13.249002324999998,476.9640836999999,-3.20225859,-3.126786819722222,1,1.54214227,1.5848386316666665,False
37,13.8601274,13.265519218918916,490.8242110999999,-3.17342,-3.128047175945946,1,1.47517622,1.5818747827027027,False
38,15.2601595,13.318009752631577,506.0843705999999,-2.74688148,-3.118016499736842,1,1.90282059,1.5903207249999998,False
39,12.1200876,13.287293799999997,518.2044581999999,-3.237428,-3.1210783330769227,1,1.53397608,1.5888759905128205,False
40,11.0600634,13.231613039999996,529.2645215999999,-3.36462355,-3.1271669634999997,1,1.44261634,1.58521949925,False
41,13.0401087,13.226942202439021,542.3046302999999,-3.29545712,-3.1312716014634145,1,1.40291321,1.5807730043902437,False
42,16.3601837,13.301543190476186,558.6648139999999,-2.61516023,-3.1189832354761897,1,1.97906959,1.5902562564285712,False
43,13.0001078,13.294533065116276,571.6649217999999,-3.090424,-3.118319067209302,1,1.66196847,1.5919239823255813,False
44,13.6401224,13.302387368181815,585.3050441999999,-3.058215,-3.116953065681818,1,1.65055275,1.5932564543181817,False
45,13.2801142,13.301892408888886,598.5851583999998,-3.16511631,-3.1180233599999996,1,1.54620957,1.5922109679999998,False
46,13.580121,13.307940856521736,612.1652793999998,-3.117874,-3.1180201130434777,1,1.5868026,1.5920933947826086,False
47,14.2201357,13.327349257446805,626.3854150999998,-3.19569039,-3.1196726721276593,1,1.43344259,1.5887178457446807,False
48,11.34007,13.285947606249996,637.7254850999998,-3.33351421,-3.1241277041666664,1,1.451776,1.5858648906249997,False
49,15.30016,13.327053981632648,653.0256450999998,-2.90669,-3.1196902,1,1.724895,1.5887022397959183,False
50,13.2801142,13.326115185999996,666.3057592999997,-3.16299772,-3.1205563504,1,1.55030179,1.5879342308,False
51,13.5001192,13.329527029411759,679.8058784999997,-3.09734344,-3.1201011952941173,1,1.6200428,1.5885638105882351,False
52,11.0400629,13.285498873076916,690.8459413999997,-3.35380554,-3.1245955096153843,1,1.45691037,1.586032013653846,False
53,16.5201874,13.346530732075466,707.3661287999997,-3.01056385,-3.1224439688679246,1,1.49902558,1.5843903828301884,False
54,13.0401087,13.340856249999995,720.4062374999997,-3.1590445,-3.1231217564814813,1,1.56187677,1.583973464074074,False
55,13.6801233,13.347024741818178,734.0863607999997,-3.02543783,-3.1213456850909087,1,1.69348359,1.585964557272727,False
56,12.7201014,13.335829682142853,746.8064621999997,-3.16734576,-3.1221671149999994,1,1.58491445,1.5859458053571427,False
57,12.3800936,13.319062382456135,759.1865557999997,-3.16736174,-3.122960003157894,1,1.6193682,1.5865321631578944,False
58,16.3201828,13.37080583793103,775.5067385999997,-2.740634,-3.1163681755172408,1,1.81252277,1.5904285529310342,False
59,12.5000963,13.356048049152538,788.0068348999997,-3.15633965,-3.1170456581355928,1,1.61336541,1.5908173132203387,False
60,11.0600634,13.317781638333328,799.0668982999997,-3.20107651,-3.118446172333333,1,1.71116853,1.592823166833333,False
61,15.3401613,13.350935403278683,814.4070595999997,-3.15225673,-3.1190004437704912,1,1.41642439,1.5899313836065572,False
62,11.1600657,13.315598795161286,825.5671252999997,-3.33781028,-3.122529634677419,1,1.45723128,1.5877910593548383,False
63,12.6000986,13.304241649206345,838.1672238999997,-3.24679136,-3.1245020430158728,1,1.48298883,1.5861275319047616,False
64,12.5200968,13.291989385937496,850.6873206999998,-3.20704913,-3.12579184125,1,1.536973,1.5853594923437497,False
65,15.28016,13.322576626153843,865.9674806999998,-2.64144945,-3.1183404198461537,1,2.03793955,1.5923222624615383,False
66,12.6200991,13.311933027272723,878.5875797999997,-3.32843733,-3.1215237063636367,1,1.38715816,1.5892137154545452,False
67,13.3401155,13.312353661194026,891.9276952999998,-3.19406748,-3.1226064492537318,1,1.49837911,1.5878579750746267,False
68,13.1601114,13.31011480441176,905.0878066999998,-3.16032743,-3.1231611695588235,1,1.57007563,1.5875964699999998,False
69,16.66019,13.358666618840575,921.7479966999997,-3.01465082,-3.1215885557971013,1,1.48695612,1.5861379142028984,False
70,13.9201288,13.366687507142853,935.6681254999997,-2.98325753,-3.1196123982857142,1,1.71239221,1.587941547,False
71,13.54012,13.369130218309856,949.2082454999997,-3.12086964,-3.1196301059154927,1,1.55829859,1.5875240405633804,False
72,12.22009,13.353171326388885,961.4283354999998,-3.1967783,-3.1207016086111112,1,1.59877264,1.587680271111111,False
73,11.2800684,13.324772656164381,972.7084038999998,-3.303145,-3.123200833150685,1,1.48358929,1.586254367260274,False
74,16.18018,13.363359241891889,988.8885838999997,-2.81972313,-3.119099783108108,1,1.74416208,1.5883882552702702,False
75,12.3400927,13.349715687999996,1001.2286765999997,-3.20878816,-3.1202956281333334,1,1.55908358,1.5879975262666666,False
76,14.3001375,13.362221238157892,1015.5288140999997,-2.93526578,-3.1178610248684215,1,1.764543,1.5903204930263157,False
77,14.6201448,13.378557907792205,1030.1489588999998,-2.99976158,-3.116327265844156,1,1.6542033,1.59115013987013,False
78,12.6200991,13.368834076923076,1042.7690579999999,-3.094401,-3.1160461598717952,1,1.7035892,1.5925916662820514,False
79,12.8201036,13.361888121518986,1055.5891616,-3.14232826,-3.116378844683545,1,1.59675884,1.5926444153164558,False
80,13.54012,13.364116019999997,1069.1292815999998,-3.03341222,-3.1153417618750003,1,1.67927468,1.5937272936250002,False
81,14.1001329,13.373202648148146,1083.2294144999998,-3.08433247,-3.1149589311111114,1,1.59295869,1.5937178046913583,False
82,15.30016,13.396702128048778,1098.5295744999999,-3.23107648,-3.1163749987804885,1,1.28707659,1.589978277682927,False
83,12.6000986,13.38710449518072,1111.1296730999998,-3.158967,-3.1168881554216874,1,1.62282133,1.590373977108434,False
84,12.180089,13.372735263095235,1123.3097620999997,-3.221725,-3.1181362130952386,1,1.51757264,1.5895072945238096,False
85,11.34007,13.348821554117643,1134.6498320999997,-3.292088,-3.1201827047058828,1,1.53042066,1.588812157647059,False
86,15.980176,13.379418698837206,1150.6300080999997,-3.0485642,-3.119349931395349,1,1.48051465,1.5875528843023259,False
87,11.5400743,13.358276809195399,1162.1700823999997,-3.25989223,-3.1209653601149427,1,1.53888321,1.5869934627586209,False
88,14.3601389,13.369661605681815,1176.5302212999998,-2.90811825,-3.1185466429545454,1,1.791351,1.5893157075,False
89,13.8601274,13.375172457303368,1190.3903486999998,-3.16276264,-3.119043451910112,1,1.49828267,1.5882928643820227,False
90,13.10011,13.372116207777776,1203.4904586999999,-3.24816942,-3.1204781848888885,1,1.4395076,1.586639694777778,False
91,14.1801348,13.380995532967031,1217.6705934999998,-3.00071,-3.119162050989011,1,1.691407,1.5877909838461541,False
92,13.580121,13.383159940217388,1231.2507144999997,-3.08314133,-3.1187705214130435,1,1.643075,1.5883918970652178,False
93,11.2400675,13.360115935483867,1242.4907819999996,-3.32068014,-3.1209415925806447,1,1.47527277,1.5871755623655919,False
94,12.0800867,13.346498603191487,1254.5708686999997,-3.16142416,-3.1213722581914896,1,1.6430763,1.58777025106383,False
95,12.22009,13.334641670526313,1266.7909586999997,-3.11635351,-3.121319429263158,1,1.70077908,1.5889598176842108,False
