EpisodeNumber,IterationTime,Reward,CheckpointCount,AverageVelocity,TimedOut
1,19.4602547,-3.84240127,1,0.9094194,False
2,16.460186,-3.83341217,1,0.944423437,False
3,20.6602821,-3.9211967,1,0.809655964,False
4,9.140019,-3.71874261,1,1.25419593,False
5,25.240387,-3.93366575,1,0.8187286,False
6,14.2401361,-3.80745935,1,0.958964765,False
7,3.979997,-4.832117,0,1.653322,False
8,4.159997,-4.82078,0,1.61222148,False
9,4.4599967,-4.80391073,0,1.58565533,False
10,4.67999649,-4.85231161,0,1.41107273,False
11,4.239997,-4.83269,0,1.57803047,False
12,4.279997,-4.808686,0,1.62314546,False
13,4.319997,-4.837479,0,1.53085685,False
14,4.53999662,-4.84216928,0,1.47402132,False
15,4.51999664,-4.837861,0,1.47782934,False
16,4.279997,-4.836141,0,1.54374015,False
17,4.67999649,-4.830209,0,1.45486474,False
18,4.85999632,-4.832887,0,1.41147721,False
19,4.93999624,-4.840811,0,1.39401948,False
20,4.959996,-4.83114958,0,1.38902974,False
21,5.219996,-4.822323,0,1.33910084,False
22,4.73999643,-4.840101,0,1.4293282,False
23,5.079996,-4.84250259,0,1.35611081,False
24,5.119996,-4.81639242,0,1.38520324,False
25,5.73999548,-4.816463,0,1.270026,False
26,5.87999535,-4.855496,0,1.180498,False
27,5.51999569,-4.84227133,0,1.26185608,False
28,5.53999567,-4.837432,0,1.25384438,False
29,5.319996,-4.82297325,0,1.31865942,False
30,5.59999561,-4.784866,0,1.33883548,False
31,5.47999573,-4.84608269,0,1.24657035,False
32,5.099996,-4.8075695,0,1.38958418,False
33,5.57999563,-4.833925,0,1.26588285,False
34,5.51999569,-4.82404041,0,1.33813691,False
35,5.339996,-4.789838,0,1.39214921,False
36,5.299996,-4.787876,0,1.42443776,False
37,5.49999571,-4.822063,0,1.29485953,False
38,5.099996,-4.8067584,0,1.391529,False
39,5.299996,-4.81303835,0,1.33451021,False
40,5.279996,-4.8048563,0,1.35869455,False
41,6.279995,-4.8581624,0,1.11467409,False
42,5.47999573,-4.837755,0,1.26747108,False
43,6.019995,-4.84212637,0,1.18290734,False
44,6.059995,-4.849247,0,1.1579659,False
45,5.85999537,-4.864054,0,1.15133119,False
46,6.439995,-4.857507,0,1.090802,False
47,5.97999525,-4.864633,0,1.143492,False
48,6.5599947,-4.84109354,0,1.10657609,False
49,5.359996,-4.804877,0,1.37319088,False
50,5.53999567,-4.83780336,0,1.24956691,False
51,5.69999552,-4.845803,0,1.2033031,False
52,5.95999527,-4.830977,0,1.18404257,False
53,5.399996,-4.80233765,0,1.35902238,False
54,5.47999573,-4.81907749,0,1.31024134,False
55,5.319996,-4.806027,0,1.33099723,False
56,5.179996,-4.83487844,0,1.33499908,False
57,4.959996,-4.819857,0,1.39688015,False
58,5.7199955,-4.847544,0,1.19078588,False
59,5.45999575,-4.84825945,0,1.24464834,False
60,5.87999535,-4.860044,0,1.17185056,False
61,5.45999575,-4.848374,0,1.26525545,False
62,5.299996,-4.84081554,0,1.28220463,False
63,5.399996,-4.843993,0,1.27510774,False
64,5.419996,-4.83227634,0,1.2805804,False
65,5.63999557,-4.84636927,0,1.22989428,False
66,5.85999537,-4.86074638,0,1.168731,False
67,6.73999453,-4.84879,0,1.078978,False
68,5.87999535,-4.83138847,0,1.20118356,False
69,5.139996,-4.833093,0,1.31052744,False
70,5.319996,-4.83242464,0,1.30372369,False
71,5.279996,-4.851085,0,1.27097332,False
72,5.57999563,-4.821968,0,1.26828158,False
73,6.119995,-4.882465,0,1.113936,False
74,5.399996,-4.82386255,0,1.29209948,False
75,5.219996,-4.838621,0,1.30670834,False
76,4.93999624,-4.821112,0,1.39405107,False
77,5.219996,-4.83569145,0,1.33180451,False
78,5.51999569,-4.8555,0,1.22539127,False
79,5.379996,-4.851293,0,1.26415813,False
80,5.339996,-4.85223341,0,1.283738,False
81,5.91999531,-4.84810925,0,1.19494009,False
82,5.73999548,-4.84589958,0,1.21310341,False
83,5.93999529,-4.841567,0,1.1811974,False
84,5.49999571,-4.836979,0,1.26099026,False
85,5.199996,-4.8368845,0,1.310366,False
86,6.339995,-4.86051846,0,1.10248232,False
87,6.059995,-4.814667,0,1.23532891,False
88,5.77999544,-4.836934,0,1.20959473,False
89,6.199995,-4.85182428,0,1.12543261,False
90,5.55999565,-4.8297,0,1.26312125,False
91,5.399996,-4.81817436,0,1.31349647,False
92,5.89999533,-4.8034215,0,1.2910161,False
93,6.299995,-4.83223772,0,1.15860224,False
94,5.55999565,-4.808729,0,1.3004756,False
95,6.51999474,-4.8049407,0,1.18849087,False
96,6.219995,-4.791246,0,1.2402271,False
97,6.57999468,-4.81590176,0,1.13497376,False
98,5.399996,-4.806552,0,1.32384956,False
99,6.439995,-4.74427843,0,1.29852283,False
100,6.039995,-4.764993,0,1.34413111,False
101,6.059995,-4.787899,0,1.2719847,False
102,6.079995,-4.75920963,0,1.30240321,False
103,6.9799943,-4.703742,0,1.34481585,False
104,7.71999359,-4.73011351,0,1.25237775,False
105,6.57999468,-4.70466471,0,1.37793636,False
106,6.95999432,-4.750753,0,1.25896478,False
107,6.299995,-4.73193026,0,1.35040486,False
108,5.91999531,-4.761384,0,1.34219146,False
109,6.61999464,-4.772743,0,1.24044907,False
110,7.319994,-4.770885,0,1.15859091,False
111,6.199995,-4.72432041,0,1.390421,False
112,6.49999475,-4.775742,0,1.24142361,False
113,6.81999445,-4.77470064,0,1.21634769,False
114,6.91999435,-4.67565727,0,1.474051,False
115,6.81999445,-4.76344967,0,1.21081007,False
116,7.079994,-4.735902,0,1.28421414,False
117,7.339994,-4.68826437,0,1.37015688,False
118,7.279994,-4.62953568,0,1.52768326,False
119,6.89999437,-4.755323,0,1.281987,False
120,7.239994,-4.69119,0,1.40783381,False
121,6.73999453,-4.798667,0,1.19022262,False
122,7.319994,-4.744585,0,1.28020036,False
123,7.259994,-4.740935,0,1.26539183,False
124,6.89999437,-4.7262826,0,1.32232273,False
125,7.379994,-4.73697138,0,1.26454294,False
126,7.03999424,-4.753148,0,1.214418,False
127,8.700009,-3.63214231,1,1.36672318,False
128,7.419994,-4.68904257,0,1.33114779,False
129,8.480004,-3.60615826,1,1.49389732,False
130,6.85999441,-4.664671,0,1.47060239,False
131,7.71999359,-4.62372828,0,1.49491727,False
132,8.179997,-3.54712725,1,1.64087212,False
133,6.61999464,-4.65378428,0,1.53390527,False
134,7.379994,-4.706127,0,1.271855,False
135,7.55999374,-4.63537169,0,1.476857,False
136,7.9199934,-4.679484,0,1.29404414,False
137,7.03999424,-3.599422,1,1.65697443,False
138,7.499994,-4.6710186,0,1.40725589,False
139,9.080018,-3.64279652,1,1.33012688,False
140,7.159994,-4.66318226,0,1.48498857,False
141,7.75999355,-3.642892,1,1.45239043,False
142,6.89999437,-3.59074235,1,1.62712586,False
143,6.73999453,-4.6194973,0,1.60633349,False
144,6.89999437,-4.6342926,0,1.54808426,False
145,7.439994,-3.59535837,1,1.59779215,False
146,7.419994,-3.60255671,1,1.61764455,False
147,8.600007,-3.58531165,1,1.47911024,False
148,8.139997,-3.56992722,1,1.57658231,False
149,8.62000751,-3.592298,1,1.51443779,False
150,8.640008,-3.57801723,1,1.54080379,False
151,8.72001,-3.58898067,1,1.46651864,False
152,8.560006,-3.57753134,1,1.49105942,False
153,7.65999365,-3.57722068,1,1.66510391,False
154,8.72001,-3.58651233,1,1.47038853,False
155,9.60003,-3.61870337,1,1.34454489,False
156,7.239994,-3.58304214,1,1.66404843,False
157,7.479994,-3.592381,1,1.612606,False
158,7.67999363,-3.58646441,1,1.59056473,False
159,9.340024,-3.59687066,1,1.38446283,False
160,8.179997,-3.58281636,1,1.49481761,False
161,8.159997,-3.596146,1,1.4856298,False
162,7.499994,-3.620445,1,1.4667511,False
163,8.059995,-3.62050581,1,1.40165818,False
164,7.8199935,-3.63538671,1,1.408588,False
165,7.399994,-4.64895868,0,1.37918675,False
166,7.93999338,-4.683192,0,1.23439121,False
167,7.419994,-3.65888786,1,1.35144711,False
168,7.65999365,-3.62367058,1,1.381601,False
169,8.239999,-3.637086,1,1.29223919,False
170,7.61999369,-3.61138582,1,1.43863142,False
171,7.459994,-3.64384317,1,1.36805356,False
172,8.259999,-4.69462347,0,1.21038,False
173,8.800012,-3.658322,1,1.203346,False
174,7.259994,-3.62482786,1,1.44607437,False
175,6.6599946,-4.6553297,0,1.42995846,False
176,8.860013,-3.59477425,1,1.3794235,False
177,8.460004,-3.65059519,1,1.27868962,False
178,7.01999426,-3.588083,1,1.629313,False
179,7.89999342,-3.57941461,1,1.54785609,False
